0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.671781931626320272e-04,3.835887965812023737e-03,5.370243352136760961e-03,-7.677401401759542665e-03,-1.279566900293271914e-02,-7.677401401759542665e-03
7.671771931625492869e-04,3.835887965812023737e-03,5.370243352136760961e-03,-7.677401401759542665e-03,-1.279566900293271914e-02,-7.677401401759542665e-03
-7.671781931626320272e-04,3.835887965812023737e-03,5.370243352136760961e-03,-7.677401401759542665e-03,-1.279566900293271914e-02,-7.677401401759542665e-03
-7.671781931626320272e-04,3.835887965812023737e-03,6.904598738461498186e-03,-7.677401401759542665e-03,-1.279566900293271914e-02,-1.279566900293271914e-02
-5.370244352136843702e-03,3.835887965812023737e-03,5.370243352136760961e-03,-7.677401401759542665e-03,-1.279566900293271914e-02,-1.791393660410545152e-02
-1.457637667008526705e-02,1.150766489743570986e-02,1.917944182905984007e-02,-7.677401401759542665e-03,-1.279566900293271914e-02,-1.791393660410545152e-02
-2.838557514700834616e-02,2.991992953333300065e-02,3.912606185128231218e-02,-7.677401401759542665e-03,-1.279566900293271914e-02,-1.791393660410545152e-02
-4.219477362393142528e-02,3.605735107863239364e-02,5.753832648717960296e-02,-7.677401401759542665e-03,-1.279566900293271914e-02,-1.791393660410545152e-02
-5.907268287350397884e-02,5.446961571453012851e-02,8.208801266837584265e-02,-2.559133800586810281e-03,-1.279566900293271914e-02,-1.791393660410545152e-02
-8.208801366837592539e-02,7.134752496410268208e-02,1.127751203948714753e-01,-7.677401401759542665e-03,-1.279566900293271914e-02,-2.815047180645136038e-02
-1.035689890769231347e-01,8.975978959999997286e-02,1.434622281213671080e-01,-7.677401401759542665e-03,-1.279566900293271914e-02,-3.838700700879771333e-02
-1.311873860307692929e-01,1.112407650085467381e-01,1.802867573931621337e-01,-1.279566900293271914e-02,-1.279566900293271914e-02,-3.838700700879771333e-02
-1.588057829846150071e-01,1.327217404170939474e-01,2.171112866649571593e-01,-1.279566900293271914e-02,-7.677401401759542665e-03,-4.862354221114362218e-02
-1.879585353247863466e-01,1.572714265982906312e-01,2.585388820957268408e-01,-1.279566900293271914e-02,-2.559133800586810281e-03,-5.886007741348953104e-02
-2.186456430512819793e-01,1.818211127794868709e-01,3.015008329128203712e-01,-7.677401401759542665e-03,2.559133800586366192e-03,-5.886007741348953104e-02
-2.508671061641027933e-01,2.079051543470087360e-01,3.475314945025638202e-01,-1.279566900293271914e-02,2.559133800586366192e-03,-7.421488021700861637e-02
