0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.671781931626320272e-04,3.835887965812023737e-03,5.370243352136760961e-03,-7.677401401759542665e-03,-1.279566900293271914e-02,-7.677401401759542665e-03,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
-2.620297907234970039e-03,5.309798025050115750e-03,7.916620155942586182e-03,-7.663246192925048626e-03,-1.246510406457781127e-02,-8.101556655654486641e-03,-1.469932247772634260e-01,1.169135436819368212e-01,2.019837871493433967e-01,1.122819955007340947e-03,2.622108324577908031e-02,-3.364485742759894260e-02
-8.054021814599621881e-03,9.631602097053337114e-03,1.538311485184780045e-02,-7.621740241596785224e-03,-1.149582043177443946e-02,-9.345266128939660674e-03,-2.864483354633851619e-01,2.278315210212102093e-01,3.936094313679512346e-01,2.188059399501484856e-03,5.109749555587717734e-02,-6.556433755121846008e-02
-1.687989706297804773e-02,1.665141102325510061e-02,2.751077386658401860e-02,-7.554323060537584435e-03,-9.921434877914627956e-03,-1.136539538901558052e-02,-4.183653320583651247e-01,3.327539320178202198e-01,5.748769326558235138e-01,3.195718333482431943e-03,7.462923693029430150e-02,-9.575844037085853855e-02
-2.890947080009169737e-02,2.621933564508881903e-02,4.404064362688284856e-02,-7.462434162510273895e-03,-7.775564176390399249e-03,-1.411881000328275848e-02,-5.427442145622033420e-01,4.316807766717667416e-01,7.457862910129601230e-01,4.145796756950181558e-03,9.681630736903044931e-02,-1.242271658865191780e-01
-4.395429017366202923e-02,3.818548680398790168e-02,6.471377055947588608e-02,-7.347513060277684714e-03,-5.091825100593781045e-03,-1.756237553914170857e-02,-6.595849829748998694e-01,5.246120549830497470e-01,9.063375064393612845e-01,5.038294669904733701e-03,1.176587068720856000e-01,-1.509705140982003924e-01
-6.182590233141051911e-02,5.239997534138578911e-02,8.927120109109479285e-02,-7.210999266602647131e-03,-1.903834423916792376e-03,-2.165295756399295002e-02,-7.688876372964549288e-01,6.115477669516695691e-01,1.056530578935026998e+00,5.873212072346090974e-03,1.371564354394597951e-01,-1.759884850059021955e-01
-8.233585442105860464e-02,6.871291209871585592e-02,1.174539816484711230e-01,-7.054332294247990520e-03,1.754791080248535584e-03,-2.634742164523699165e-02,-8.706521775268678542e-01,6.924879125776256528e-01,1.196365508499956709e+00,6.650548964274249041e-03,1.553094930711529931e-01,-1.992810786096244902e-01
-1.052956935903277408e-01,8.697440791741155308e-02,1.490031586583365208e-01,-6.878951655976545121e-03,5.850434638510183805e-03,-3.160263335027434922e-02,-9.648786036661395338e-01,7.674324918609186641e-01,1.325842295134151527e+00,7.370305345689212237e-03,1.721178797671652494e-01,-2.208482949093674430e-01
